tau,tau_true,category,TP,FP,FN,TN,N,removed,kept,Precision,Recall,TPR,TNR,FPR,FNR,sample_fp_share_all,sample_fp_share_removed,sample_fn_share_all,sample_fn_share_kept,severity_index_fp,severity_index_fp_t1,severity_ratio_fp,volume_scenario,posts_per_day,days_in_period,n_period_posts,s_fp,loss_share_fp_raw,fp_total_cost_period_raw,fp_total_cost_period,loss_share_fp,fp_denominator_posts_period,eur_per_fp,fp_total_cost_sample
0.4,0.5,META3_ANY,5428,10565,2693,81314,100000,15993,84007,0.3393984868379916,0.6683905922915897,0.6683905922915897,0.8850118090096758,0.11498819099032423,0.3316094077084103,0.10565,0.6606015131620083,0.02693,0.03205685240515671,0.19999999999959997,0.39999999999920005,0.49999999999999983,low,1260900000.0,181,228222900000.0,0.06,0.02999999999999999,2413252240.7170286,2413252240.7170286,0.02999999999999999,24111749384.999996,0.10008615311082826,1057.4102076159006
0.39,0.5,META3_ANY,5573,11292,2548,80587,100000,16865,83135,0.3304476726949303,0.6862455362640069,0.6862455362640069,0.8770992283329161,0.12290077166708388,0.3137544637359931,0.11292,0.6695523273050696,0.02548,0.030648944487881156,0.21999999999956,0.39999999999920005,0.5499999999999999,low,1260900000.0,181,228222900000.0,0.06,0.032999999999999995,2654577464.788732,2654577464.788732,0.032999999999999995,25770929868.0,0.10300666209506647,1163.1512283774905
0.38,0.5,META3_ANY,5574,11293,2547,80586,100000,16867,83133,0.33046777731665383,0.6863686738086443,0.6863686738086443,0.8770883444530306,0.12291165554696938,0.31363132619135575,0.11293,0.6695322226833462,0.02547,0.030637652917613944,0.23999999999952001,0.39999999999920005,0.6,low,1260900000.0,181,228222900000.0,0.06,0.036,2895902688.860435,2895902688.860435,0.036,25773212097.0,0.11236095361189061,1268.8922491390806
0.37,0.5,META3_ANY,5575,11303,2546,80576,100000,16878,83122,0.33031164829956156,0.6864918113532816,0.6864918113532816,0.8769795056541756,0.1230204943458244,0.31350818864671837,0.11303,0.6696883517004384,0.02546,0.030629676860518273,0.25999999999948004,0.39999999999920005,0.65,low,1260900000.0,181,228222900000.0,0.06,0.039,3137227912.9321384,3137227912.9321384,0.039,25796034387.0,0.1216166743254597,1374.633269900671
0.36,0.5,META3_ANY,5575,11303,2546,80576,100000,16878,83122,0.33031164829956156,0.6864918113532816,0.6864918113532816,0.8769795056541756,0.1230204943458244,0.31350818864671837,0.11303,0.6696883517004384,0.02546,0.030629676860518273,0.27999999999944003,0.39999999999920005,0.7,low,1260900000.0,181,228222900000.0,0.06,0.041999999999999996,3378553137.003841,3378553137.003841,0.041999999999999996,25796034387.0,0.1309718031197258,1480.3742906622608
0.35,0.5,META3_ANY,5723,12329,2398,79550,100000,18052,81948,0.3170285840904055,0.7047161679596109,0.7047161679596109,0.865812644891651,0.13418735510834903,0.2952838320403891,0.12329,0.6829714159095945,0.02398,0.029262459120417826,0.2999999999994001,0.39999999999920005,0.7500000000000001,low,1260900000.0,181,228222900000.0,0.06,0.045000000000000005,3619878361.0755444,3619878361.0755444,0.045000000000000005,28137601341.0,0.12864914522052487,1586.1153114238512
0.34,0.5,META3_ANY,5912,13306,2209,78573,100000,19218,80782,0.3076282651680716,0.7279891638960719,0.7279891638960719,0.8551790942435159,0.14482090575648407,0.27201083610392807,0.13306,0.6923717348319284,0.02209,0.02734520066351415,0.31999999999935996,0.39999999999920005,0.7999999999999998,low,1260900000.0,181,228222900000.0,0.06,0.04799999999999999,3861203585.147246,3861203585.147246,0.04799999999999999,30367339074.0,0.1271498821723614,1691.8563321854408
0.33,0.5,META3_ANY,6057,14026,2064,77853,100000,20083,79917,0.30159836677787183,0.7458441078684891,0.7458441078684891,0.8473427007259547,0.1526572992740452,0.2541558921315109,0.14026,0.6984016332221281,0.02064,0.02582679530012388,0.33999999999931996,0.39999999999920005,0.8499999999999998,low,1260900000.0,181,228222900000.0,0.06,0.05099999999999998,4102528809.218949,4102528809.218949,0.05099999999999998,32010543954.0,0.12816179616048984,1797.5973529470305
0.32,0.5,META3_ANY,6057,14027,2064,77852,100000,20084,79916,0.3015833499302928,0.7458441078684891,0.7458441078684891,0.8473318168460693,0.15266818315393071,0.2541558921315109,0.14027,0.6984166500697072,0.02064,0.025827118474398118,0.35999999999928,0.39999999999920005,0.8999999999999999,low,1260900000.0,181,228222900000.0,0.06,0.05399999999999999,4343854033.290652,4343854033.290652,0.05399999999999999,32012826183.0,0.1356910510949327,1903.338373708621
0.31,0.5,META3_ANY,6057,14027,2064,77852,100000,20084,79916,0.3015833499302928,0.7458441078684891,0.7458441078684891,0.8473318168460693,0.15266818315393071,0.2541558921315109,0.14027,0.6984166500697072,0.02064,0.025827118474398118,0.37999999999924,0.39999999999920005,0.9499999999999998,low,1260900000.0,181,228222900000.0,0.06,0.05699999999999999,4585179257.362355,4585179257.362355,0.056999999999999995,32012826183.0,0.14322944282242897,2009.0793944702111
