tau,posts_per_day,volume_scenario,scenario_s_fn,loss_share,eur_per_FN,FN,total_cost_eur,total_cost_period_eur
0.99,1260900000.0,low,0.01,0.04538752362948961,0.1979673752597872,8081,1599.7743594743404,3651051436.648764
0.5,1260900000.0,low,0.03,0.0,0.0,3161,0.0,0.0
0.51,1260900000.0,low,0.03,5.671077504725909e-05,0.0006323584563617091,3161,1.9988850805593625,4561913.498519913
0.52,1260900000.0,low,0.03,0.00022684310018903636,0.002494708368872839,3205,7.995540322237449,18247653.994079653
0.53,1260900000.0,low,0.03,0.0005103969754253319,0.004958645458939985,3628,17.989965725034267,41057221.486679226
0.54,1260900000.0,low,0.03,0.0009073724007561454,0.008815369704782194,3628,31.9821612889498,72990615.97631861
0.55,1260900000.0,low,0.03,0.0014177693761814772,0.013770219623583371,3629,49.97212701398405,114047837.46299782
0.56,1260900000.0,low,0.03,0.0020415879017013274,0.019785499835066556,3637,71.95986290013707,164228885.9467169
0.57,1260900000.0,low,0.03,0.0027788279773156865,0.025849925824071904,3789,97.94536894740844,223533761.42747504
0.58,1260900000.0,low,0.03,0.0036294896030245713,0.03375425993556697,3790,127.92864515579883,291962463.9052736
0.59,1260900000.0,low,0.03,0.004593572778827975,0.04272023523095197,3790,161.90969152530795,369514993.38011205
0.6,1260900000.0,low,0.03,0.005671077504725896,0.05262993892994623,3798,199.8885080559358,456191349.8519903
0.61,1260900000.0,low,0.03,0.0068620037807183365,0.06344834594640146,3812,241.86509474768238,551991533.3209084
0.62,1260900000.0,low,0.03,0.008166351606805294,0.07550877534117201,3812,287.8394516005477,656915543.7868663
0.63,1260900000.0,low,0.03,0.00958412098298677,0.08833984796405117,3824,337.8115786145317,770963381.249864
0.64,1260900000.0,low,0.03,0.011115311909262763,0.102266112187323,3831,391.7814757896344,894135045.7099016
0.65,1260900000.0,low,0.03,0.012759924385633276,0.10420508413481369,4316,449.7491431258559,1026430537.166979
0.66,1260900000.0,low,0.03,0.01451795841209831,0.11124230013547742,4600,511.7145806231961,1167849855.6210964
0.67,1260900000.0,low,0.03,0.016389413988657855,0.12558212788731632,4600,577.6777882816551,1318393001.0722532
0.68,1260900000.0,low,0.03,0.018374291115311924,0.14079103610896362,4600,647.6387661012327,1478059973.52045
0.69,1260900000.0,low,0.03,0.020472589792060483,0.15498228395230415,4656,721.5975140819281,1646850772.9656847
0.7,1260900000.0,low,0.03,0.022684310018903583,0.17157811850294918,4660,799.5540322237432,1824765399.4079611
0.71,1260900000.0,low,0.03,0.025009451795841207,0.18912429103769085,4661,881.508320526677,2011803852.8472776
0.72,1260900000.0,low,0.03,0.027448015122873346,0.2075204588139703,4662,967.4603789907295,2207966133.2836337
0.73,1260900000.0,low,0.03,0.029999999999999995,0.2214471638986179,4775,1057.4102076159004,2413252240.717029
0.74,1260900000.0,low,0.03,0.032665406427221176,0.23444467652253934,4911,1151.3578064021906,2627662175.147465
0.75,1260900000.0,low,0.03,0.03544423440453687,0.25051196618199306,4987,1249.3031753495993,2851195936.5749407
0.76,1260900000.0,low,0.03,0.03833648393194708,0.2709537426224437,4987,1351.2463144581268,3083853524.999456
0.77,1260900000.0,low,0.03,0.041342155009451806,0.2906816723973215,5013,1457.1872237277728,3325634940.421011
0.78,1260900000.0,low,0.03,0.04446124763705105,0.3126123884218108,5013,1567.1259031585378,3576540182.8396063
0.79,1260900000.0,low,0.03,0.04769376181474482,0.334672974865702,5023,1681.0623527504213,3836569252.2552414
0.8,1260900000.0,low,0.03,0.051039697542533104,0.3579380367097938,5026,1798.9965725034235,4105722148.667916
0.81,1260900000.0,low,0.03,0.0544990548204159,0.33998735618009635,5650,1920.9285624175443,4383998872.07763
0.82,1260900000.0,low,0.03,0.058071833648393176,0.34727830378228414,5894,2046.8583224927827,4671399422.484381
0.83,1260900000.0,low,0.03,0.06175803402646502,0.3690718638062294,5898,2176.785852729141,4967923799.888175
0.84,1260900000.0,low,0.03,0.06555765595463138,0.39098327464071375,5910,2310.7111531266182,5273572004.289009
0.85,1260900000.0,low,0.03,0.06947069943289225,0.4028684145582781,6078,2448.6342236852142,5588344035.686883
0.86,1260900000.0,low,0.03,0.07349716446124764,0.4237087118751928,6114,2590.555064404929,5912239894.081797
0.87,1260900000.0,low,0.03,0.07763705103969755,0.4444491920230246,6157,2736.4736752857625,6245259579.47375
0.88,1260900000.0,low,0.03,0.08189035916824199,0.45584176505491386,6332,2886.390056327715,6587403091.862743
0.89,1260900000.0,low,0.03,0.08625708884688094,0.4451397082768353,6830,3040.304207530785,6938670431.248776
0.9,1260900000.0,low,0.03,0.0907372400756144,0.44186462128971743,7238,3198.2161288949746,7299061597.631849
0.91,1260900000.0,low,0.03,0.09533081285444238,0.464105776301144,7240,3360.1258204202827,7668576591.011962
0.92,1260900000.0,low,0.03,0.10003780718336487,0.4866850630927136,7245,3526.03328210671,8047215411.389114
0.93,1260900000.0,low,0.03,0.10485822306238189,0.5088721621856335,7263,3695.938513954256,8434978058.763307
0.94,1260900000.0,low,0.03,0.10979206049149338,0.5244398314084454,7379,3869.8415159629185,8831864533.134535
0.95,1260900000.0,low,0.03,0.11483931947069942,0.5451504765161886,7425,4047.7422881327007,9237874834.502806
0.96,1260900000.0,low,0.03,0.11999999999999998,0.5678894777743826,7448,4229.640830463602,9653008962.868116
0.97,1260900000.0,low,0.03,0.1252741020793951,0.5872505842473232,7519,4415.5371429556235,10077266918.23047
0.98,1260900000.0,low,0.03,0.1306616257088847,0.5809070668023162,7928,4605.431225608762,10510648700.58986
0.99,1260900000.0,low,0.03,0.13616257088846884,0.5939021257793616,8081,4799.323078423022,10953154309.946293
0.5,1260900000.0,low,0.075,0.0,0.0,3161,0.0,0.0
0.51,1260900000.0,low,0.075,0.00014177693761814773,0.0015808961409042729,3161,4.997212701398406,11404783.746299785
0.52,1260900000.0,low,0.075,0.0005671077504725909,0.006236770922182098,3205,19.988850805593625,45619134.98519914
0.53,1260900000.0,low,0.075,0.0012759924385633296,0.01239661364734996,3628,44.97491431258566,102643053.71669805
0.54,1260900000.0,low,0.075,0.0022684310018903637,0.022038424261955486,3628,79.9554032223745,182476539.94079655
0.55,1260900000.0,low,0.075,0.0035444234404536927,0.03442554905895843,3629,124.93031753496014,285119593.65749454
0.56,1260900000.0,low,0.075,0.0051039697542533185,0.04946374958766638,3637,179.89965725034264,410572214.8667922
