tau,TP,FP,FN,TN,FNR,FPR,exposure_index,rev_index_linear,rev_index_exp,severity_s
0.33,6057,14026,2064,77853,0.2541558921315109,0.1526572992740452,0.6529579247073711,1.0,1.0,0.0
0.34,5912,13306,2209,78573,0.27201083610392807,0.14482090575648407,0.6988294843403986,1.0,1.0,0.0
0.35,5723,12329,2398,79550,0.2952838320403891,0.13418735510834903,0.7586206896551724,1.0,1.0,0.0
0.36,5575,11303,2546,80576,0.31350818864671837,0.1230204943458244,0.8054413160392281,1.0,1.0,0.0
0.37,5575,11303,2546,80576,0.31350818864671837,0.1230204943458244,0.8054413160392281,1.0,1.0,0.0
0.38,5574,11293,2547,80586,0.31363132619135575,0.12291165554696938,0.8057576716229041,1.0,1.0,0.0
0.39,5573,11292,2548,80587,0.3137544637359931,0.12290077166708388,0.8060740272065802,1.0,1.0,0.0
0.4,5428,10565,2693,81314,0.3316094077084103,0.11498819099032423,0.8519455868396077,1.0,1.0,0.0
0.41,5187,9355,2934,82524,0.361285555966014,0.10181869632886731,0.9281872825055362,1.0,1.0,0.0
0.42,5187,9333,2934,82546,0.361285555966014,0.10157925097138627,0.9281872825055362,1.0,1.0,0.0
0.43,5143,8955,2978,82924,0.36670360793005785,0.09746514437466668,0.9421069281872825,1.0,1.0,0.0
0.44,5139,8919,2982,82960,0.36719615810860734,0.09707332469878863,0.9433723505219868,1.0,1.0,0.0
0.45,5138,8911,2983,82968,0.36731929565324467,0.0969862536597046,0.9436887061056628,1.0,1.0,0.0
0.46,5027,8488,3094,83391,0.38098756310799164,0.09238237246813744,0.9788041758937045,1.0,1.0,0.0
0.47,4993,8360,3128,83519,0.3851742396256619,0.09098923584279324,0.9895602657386903,1.0,1.0,0.0
0.48,4993,8359,3128,83520,0.3851742396256619,0.09097835196290774,0.9895602657386903,1.0,1.0,0.0
0.49,4960,8239,3161,83640,0.38923777859869474,0.08967228637664755,1.0,1.0,1.0,0.0
0.5,4960,8239,3161,83640,0.38923777859869474,0.08967228637664755,1.0,1.0,1.0,0.0
0.51,4960,8239,3161,83640,0.38923777859869474,0.08967228637664755,1.0,1.0,1.0,0.04347826086956526
0.52,4916,7955,3205,83924,0.39465583056273856,0.0865812644891651,1.0139196456817463,0.9860803543182537,0.9808882636943829,0.08695652173913052
0.53,4493,6631,3628,85248,0.44674301194434185,0.072171007520761,1.1477380575767162,0.8522619424232838,0.8148033883431319,0.1304347826086958
0.54,4493,6630,3628,85249,0.44674301194434185,0.0721601236408755,1.1477380575767162,0.8522619424232838,0.8148033883431319,0.17391304347826103
0.55,4492,6630,3629,85249,0.4468661494889792,0.0721601236408755,1.1480544131603923,0.8519455868396077,0.8144461249174929,0.2173913043478263
0.56,4484,6603,3637,85276,0.44785124984607805,0.07186625888396696,1.1505852578298006,0.8494147421701994,0.8115936510673307,0.2608695652173916
0.57,4332,6146,3789,85733,0.4665681566309568,0.06689232577629273,1.1986713065485606,0.8013286934514394,0.7592555145072053,0.3043478260869563
0.58,4331,6145,3790,85734,0.46669129417559413,0.06688144189640723,1.1989876621322366,0.8010123378677634,0.7589226069249239,0.3478260869565216
0.59,4331,6145,3790,85734,0.46669129417559413,0.06688144189640723,1.1989876621322366,0.8010123378677634,0.7589226069249239,0.39130434782608686
0.6,4323,6111,3798,85768,0.467676394532693,0.06651138998030018,1.201518506801645,0.798481493198355,0.7562645957633266,0.4347826086956521
0.61,4309,6019,3812,85860,0.46940032015761607,0.06551007303083403,1.2059474849731098,0.7940525150268902,0.7516354570686018,0.47826086956521735
0.62,4309,6017,3812,85862,0.46940032015761607,0.06548830527106303,1.2059474849731098,0.7940525150268902,0.7516354570686018,0.5217391304347826
0.63,4297,5952,3824,85927,0.47087797069326437,0.06478085307850542,1.2097437519772225,0.7902562480227775,0.7476901830102738,0.5652173913043479
0.64,4290,5926,3831,85953,0.4717399335057259,0.06449787220148238,1.2119582410629548,0.7880417589370452,0.7453983433939574,0.6086956521739132
