tau_true,category,tau_pred,TP,FP,TN,FN,Precision,Recall,TPR,FPR,prevalence
0.5,BULLYING_HARASSMENT,0.0,8062,91938,0,0,0.08062,1.0,1.0,1.0,0.08062
0.5,BULLYING_HARASSMENT,0.01,7698,38800,53138,364,0.16555550776377478,0.9548499131729099,0.9548499131729099,0.422023537601427,0.08062
0.5,BULLYING_HARASSMENT,0.02,7620,36040,55898,442,0.17453046266605587,0.9451748945671049,0.9451748945671049,0.3920033065761709,0.08062
0.5,BULLYING_HARASSMENT,0.03,7300,28586,63352,762,0.20342194727748983,0.9054825105432895,0.9054825105432895,0.3109269290173813,0.08062
0.5,BULLYING_HARASSMENT,0.04,7281,28170,63768,781,0.20538207666920538,0.9031257752418754,0.9031257752418754,0.30640214057299486,0.08062
0.5,BULLYING_HARASSMENT,0.05,7218,26800,65138,844,0.21218178611323418,0.8953113371371868,0.8953113371371868,0.2915007940133568,0.08062
0.5,BULLYING_HARASSMENT,0.06,7022,23841,68097,1040,0.22752162783916016,0.8709997519225998,0.8709997519225998,0.25931606082359854,0.08062
0.5,BULLYING_HARASSMENT,0.07,7022,23841,68097,1040,0.22752162783916016,0.8709997519225998,0.8709997519225998,0.25931606082359854,0.08062
0.5,BULLYING_HARASSMENT,0.08,7022,23836,68102,1040,0.2275584937455441,0.8709997519225998,0.8709997519225998,0.2592616763471035,0.08062
0.5,BULLYING_HARASSMENT,0.09,7022,23835,68103,1040,0.22756586836050166,0.8709997519225998,0.8709997519225998,0.25925079945180446,0.08062
0.5,BULLYING_HARASSMENT,0.1,7022,23834,68104,1040,0.22757324345346125,0.8709997519225998,0.8709997519225998,0.25923992255650546,0.08062
0.5,BULLYING_HARASSMENT,0.11,6922,22152,69786,1140,0.23808213524110888,0.8585958819151576,0.8585958819151576,0.24094498466357764,0.08062
0.5,BULLYING_HARASSMENT,0.12,6921,22132,69806,1141,0.23821980518362992,0.8584718432150831,0.8584718432150831,0.24072744675759752,0.08062
0.5,BULLYING_HARASSMENT,0.13,6920,22107,69831,1142,0.23839873221483446,0.8583478045150087,0.8583478045150087,0.24045552437512235,0.08062
0.5,BULLYING_HARASSMENT,0.14,6920,22100,69838,1142,0.23845623707787733,0.8583478045150087,0.8583478045150087,0.24037938610802934,0.08062
0.5,BULLYING_HARASSMENT,0.15,6511,17700,74238,1551,0.2689273470736442,0.8076159761845696,0.8076159761845696,0.1925210467924036,0.08062
0.5,BULLYING_HARASSMENT,0.16,6493,17583,74355,1569,0.26968765575677023,0.80538327958323,0.80538327958323,0.1912484500424199,0.08062
0.5,BULLYING_HARASSMENT,0.17,6493,17576,74362,1569,0.26976608916033074,0.80538327958323,0.80538327958323,0.19117231177532684,0.08062
