scenario_id,t_star,ecm_at_t_star,n_tau_points,s_fp,s_fn,volume,platform,setup
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.06|0.5,0.53,1454.5793941122645,95,0.06,0.5,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.01,0.82,983.6885098235306,95,0.12,0.01,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.03,0.66,1191.3415697676865,95,0.12,0.03,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.075,0.57,1362.9880783597455,95,0.12,0.075,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.5,0.53,1454.5793941122645,95,0.12,0.5,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.01,0.82,983.6885098235306,95,0.27,0.01,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.03,0.66,1191.3415697676865,95,0.27,0.03,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.075,0.57,1362.9880783597455,95,0.27,0.075,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.5,0.53,1454.5793941122645,95,0.27,0.5,high,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.01,0.66,1187.3261673167106,95,0.06,0.01,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.03,0.53,1370.2723309357114,95,0.06,0.03,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.075,0.53,1397.257279523263,95,0.06,0.075,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.5,0.5,1532.9096834877569,95,0.06,0.5,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.01,0.66,1187.3261673167106,95,0.12,0.01,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.03,0.53,1370.2723309357114,95,0.12,0.03,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.075,0.53,1397.257279523263,95,0.12,0.075,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.5,0.5,1532.9096834877569,95,0.12,0.5,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.01,0.66,1187.3261673167106,95,0.27,0.01,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.03,0.53,1370.2723309357114,95,0.27,0.03,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.075,0.53,1397.257279523263,95,0.27,0.075,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.5,0.5,1532.9096834877569,95,0.27,0.5,low,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.01,0.82,1104.238676400588,95,0.06,0.01,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.03,0.66,1281.7541947004802,95,0.06,0.03,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.075,0.53,1375.5733416591493,95,0.06,0.075,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.5,0.53,1507.5555415338229,95,0.06,0.5,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.01,0.82,1104.238676400588,95,0.12,0.01,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.03,0.66,1281.7541947004802,95,0.12,0.03,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.075,0.53,1375.5733416591493,95,0.12,0.075,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.5,0.53,1507.5555415338229,95,0.12,0.5,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.01,0.82,1104.238676400588,95,0.27,0.01,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.03,0.66,1281.7541947004802,95,0.27,0.03,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.075,0.53,1375.5733416591493,95,0.27,0.075,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.5,0.53,1507.5555415338229,95,0.27,0.5,mid,Human 15% + Proactive 50.0%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.01,0.9,858.0472257895448,95,0.06,0.01,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.03,0.66,1102.0957254386,95,0.06,0.03,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.075,0.57,1288.3960498673014,95,0.06,0.075,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.5,0.53,1383.0181853721915,95,0.06,0.5,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.01,0.9,858.0472257895448,95,0.12,0.01,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.03,0.66,1102.0957254386,95,0.12,0.03,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.075,0.57,1288.3960498673014,95,0.12,0.075,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.5,0.53,1383.0181853721915,95,0.12,0.5,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.01,0.9,858.0472257895448,95,0.27,0.01,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.03,0.66,1102.0957254386,95,0.27,0.03,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.075,0.57,1288.3960498673014,95,0.27,0.075,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.5,0.53,1383.0181853721915,95,0.27,0.5,high,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.01,0.66,1098.080322987624,95,0.06,0.01,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.03,0.53,1298.7111221956386,95,0.06,0.03,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.075,0.53,1325.69607078319,95,0.06,0.075,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.5,0.5,1468.9952442022395,95,0.06,0.5,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.01,0.66,1098.080322987624,95,0.12,0.01,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.03,0.53,1298.7111221956386,95,0.12,0.03,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.075,0.53,1325.69607078319,95,0.12,0.075,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.5,0.5,1468.9952442022395,95,0.12,0.5,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.01,0.66,1098.080322987624,95,0.27,0.01,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.03,0.53,1298.7111221956386,95,0.27,0.03,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.075,0.53,1325.69607078319,95,0.27,0.075,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.5,0.5,1468.9952442022395,95,0.27,0.5,low,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.01,0.82,991.3905767701004,95,0.06,0.01,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.03,0.66,1192.5083503713936,95,0.06,0.03,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.075,0.53,1304.0121329190763,95,0.06,0.075,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.5,0.53,1435.99433279375,95,0.06,0.5,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.01,0.82,991.3905767701004,95,0.12,0.01,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.03,0.66,1192.5083503713936,95,0.12,0.03,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.075,0.53,1304.0121329190763,95,0.12,0.075,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.5,0.53,1435.99433279375,95,0.12,0.5,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.01,0.82,991.3905767701004,95,0.27,0.01,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.03,0.66,1192.5083503713936,95,0.27,0.03,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.075,0.53,1304.0121329190763,95,0.27,0.075,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 15% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.5,0.53,1435.99433279375,95,0.27,0.5,mid,Human 15% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.06|0.01,0.9,1002.1594212037296,95,0.06,0.01,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.06|0.03,0.66,1248.712983952553,95,0.06,0.03,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.06|0.075,0.57,1448.2991558194851,95,0.06,0.075,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.06|0.5,0.53,1547.278309786211,95,0.06,0.5,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.01,0.9,1002.1594212037296,95,0.12,0.01,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.03,0.66,1248.712983952553,95,0.12,0.03,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.075,0.57,1448.2991558194851,95,0.12,0.075,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.12|0.5,0.53,1547.278309786211,95,0.12,0.5,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.01,0.9,1002.1594212037296,95,0.27,0.01,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.03,0.66,1248.712983952553,95,0.27,0.03,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.075,0.57,1448.2991558194851,95,0.27,0.075,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|high|0.27|0.5,0.53,1547.278309786211,95,0.27,0.5,high,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.01,0.66,1244.6975815015771,95,0.06,0.01,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.03,0.57,1462.7019511639317,95,0.06,0.03,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.075,0.53,1489.9561951972094,95,0.06,0.075,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.06|0.5,0.5,1643.975068387382,95,0.06,0.5,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.01,0.66,1244.6975815015771,95,0.12,0.01,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.03,0.57,1462.7019511639317,95,0.12,0.03,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.075,0.53,1489.9561951972094,95,0.12,0.075,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.12|0.5,0.5,1643.975068387382,95,0.12,0.5,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.01,0.66,1244.6975815015771,95,0.27,0.01,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.03,0.57,1462.7019511639317,95,0.27,0.03,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.075,0.53,1489.9561951972094,95,0.27,0.075,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|low|0.27|0.5,0.5,1643.975068387382,95,0.27,0.5,low,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.01,0.82,1130.2833319543051,95,0.06,0.01,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.03,0.66,1339.1256088853468,95,0.06,0.03,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.075,0.53,1468.2722573330957,95,0.06,0.075,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.06|0.5,0.53,1600.2544572077693,95,0.06,0.5,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.01,0.82,1130.2833319543051,95,0.12,0.01,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.03,0.66,1339.1256088853468,95,0.12,0.03,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.075,0.53,1468.2722573330957,95,0.12,0.075,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.12|0.5,0.53,1600.2544572077693,95,0.12,0.5,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.01,0.82,1130.2833319543051,95,0.27,0.01,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.03,0.66,1339.1256088853468,95,0.27,0.03,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.075,0.53,1468.2722573330957,95,0.27,0.075,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 50.0%|All Policies (Weighted)|mid|0.27|0.5,0.53,1600.2544572077693,95,0.27,0.5,mid,Human 25% + Proactive 50.0%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.01,0.9,865.339916391795,95,0.06,0.01,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.03,0.66,1159.4671396234662,95,0.06,0.03,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.075,0.57,1373.707127327041,95,0.06,0.075,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.06|0.5,0.53,1475.717101046138,95,0.06,0.5,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.01,0.9,865.339916391795,95,0.12,0.01,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.03,0.66,1159.4671396234662,95,0.12,0.03,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.075,0.57,1373.707127327041,95,0.12,0.075,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.12|0.5,0.53,1475.717101046138,95,0.12,0.5,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.01,0.9,865.339916391795,95,0.27,0.01,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.03,0.66,1159.4671396234662,95,0.27,0.03,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.075,0.57,1373.707127327041,95,0.27,0.075,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|high|0.27|0.5,0.53,1475.717101046138,95,0.27,0.5,high,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.01,0.66,1155.4517371724903,95,0.06,0.01,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.03,0.57,1388.1099226714873,95,0.06,0.03,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.075,0.53,1418.3949864571364,95,0.06,0.075,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.06|0.5,0.5,1580.0606291018644,95,0.06,0.5,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.01,0.66,1155.4517371724903,95,0.12,0.01,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.03,0.57,1388.1099226714873,95,0.12,0.03,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.075,0.53,1418.3949864571364,95,0.12,0.075,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.12|0.5,0.5,1580.0606291018644,95,0.12,0.5,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
