scenario_id,t_star,ecm_at_t_star,n_tau_points,s_fp,s_fn,volume,platform,setup
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.01,0.66,1155.4517371724903,95,0.27,0.01,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.03,0.57,1388.1099226714873,95,0.27,0.03,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.075,0.53,1418.3949864571364,95,0.27,0.075,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|low|0.27|0.5,0.5,1580.0606291018644,95,0.27,0.5,low,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.01,0.82,1017.4352323238174,95,0.06,0.01,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.03,0.66,1249.87976455626,95,0.06,0.03,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.075,0.53,1396.711048593023,95,0.06,0.075,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.06|0.5,0.53,1528.6932484676963,95,0.06,0.5,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.01,0.82,1017.4352323238174,95,0.12,0.01,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.03,0.66,1249.87976455626,95,0.12,0.03,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.075,0.53,1396.711048593023,95,0.12,0.075,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.12|0.5,0.53,1528.6932484676963,95,0.12,0.5,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.01,0.82,1017.4352323238174,95,0.27,0.01,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.03,0.66,1249.87976455626,95,0.27,0.03,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.075,0.53,1396.711048593023,95,0.27,0.075,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Human 25% + Proactive 62.5%|All Policies (Weighted)|mid|0.27|0.5,0.53,1528.6932484676963,95,0.27,0.5,mid,Human 25% + Proactive 62.5%,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.06|0.01,0.66,470.9862131426776,95,0.06,0.01,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.06|0.03,0.66,587.3774993595939,95,0.06,0.03,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.06|0.075,0.53,609.4551665067609,95,0.06,0.075,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.06|0.5,0.5,690.9931016716383,95,0.06,0.5,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.12|0.01,0.66,470.9862131426776,95,0.12,0.01,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.12|0.03,0.66,587.3774993595939,95,0.12,0.03,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.12|0.075,0.53,609.4551665067609,95,0.12,0.075,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.12|0.5,0.5,690.9931016716383,95,0.12,0.5,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.27|0.01,0.66,470.9862131426776,95,0.27,0.01,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.27|0.03,0.66,587.3774993595939,95,0.27,0.03,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.27|0.075,0.53,609.4551665067609,95,0.27,0.075,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|high|0.27|0.5,0.5,690.9931016716383,95,0.27,0.5,high,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.06|0.01,0.66,583.362096908618,95,0.06,0.01,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.06|0.03,0.53,612.1005778965567,95,0.06,0.03,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.06|0.075,0.53,639.0855264841082,95,0.06,0.075,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.06|0.5,0.5,690.9931016716383,95,0.06,0.5,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.12|0.01,0.66,583.362096908618,95,0.12,0.01,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.12|0.03,0.53,612.1005778965567,95,0.12,0.03,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.12|0.075,0.53,639.0855264841082,95,0.12,0.075,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.12|0.5,0.5,690.9931016716383,95,0.12,0.5,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.27|0.01,0.66,583.362096908618,95,0.27,0.01,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.27|0.03,0.53,612.1005778965567,95,0.27,0.03,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.27|0.075,0.53,639.0855264841082,95,0.27,0.075,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|low|0.27|0.5,0.5,690.9931016716383,95,0.27,0.5,low,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.06|0.01,0.66,501.1237547869421,95,0.06,0.01,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.06|0.03,0.53,603.4270027509112,95,0.06,0.03,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.06|0.075,0.53,617.4015886199945,95,0.06,0.075,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.06|0.5,0.5,690.9931016716383,95,0.06,0.5,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.12|0.01,0.66,501.1237547869421,95,0.12,0.01,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.12|0.03,0.53,603.4270027509112,95,0.12,0.03,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.12|0.075,0.53,617.4015886199945,95,0.12,0.075,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.12|0.5,0.5,690.9931016716383,95,0.12,0.5,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.27|0.01,0.66,501.1237547869421,95,0.27,0.01,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.27|0.03,0.53,603.4270027509112,95,0.27,0.03,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.27|0.075,0.53,617.4015886199945,95,0.27,0.075,mid,Instagram,All Policies (Weighted)
Instagram|All Policies (Weighted)|mid|0.27|0.5,0.5,690.9931016716383,95,0.27,0.5,mid,Instagram,All Policies (Weighted)
