app,policy_area,tau,TP,FP,FN,TN,TP_meta3,FP_meta3,FN_meta3,TN_meta3,volume_scenario,posts_per_day,scenario_s_fp,scenario_s_fn,cost_fp_1,cost_fp_2,cost_fn_1,eur_per_FP,eur_per_FN,direct_fp_cost,direct_fn_cost,indirect_fp_cost,indirect_fn_cost,fp_cost_total,fn_cost_total,ecm_total_cost
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,low,1260900000.0,0.27,0.5,0.1252910382144547,0.0344884761424641,0.0,0.1035785312045528,0.0,46485.29322991581,0.0,9516.691868543106,0.0,56001.98509845892,0.0,56001.98509845892
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.06,0.01,0.1252910382144547,0.0344884761424641,0.0,0.0119199541824854,0.0,46485.29322991581,0.0,1095.193470332576,0.0,47580.48670024839,0.0,47580.48670024839
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.06,0.03,0.1252910382144547,0.0344884761424641,0.0,0.0119199541824854,0.0,46485.29322991581,0.0,1095.193470332576,0.0,47580.48670024839,0.0,47580.48670024839
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.06,0.075,0.1252910382144547,0.0344884761424641,0.0,0.0119199541824854,0.0,46485.29322991581,0.0,1095.193470332576,0.0,47580.48670024839,0.0,47580.48670024839
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.06,0.5,0.1252910382144547,0.0344884761424641,0.0,0.0119199541824854,0.0,46485.29322991581,0.0,1095.193470332576,0.0,47580.48670024839,0.0,47580.48670024839
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.12,0.01,0.1252910382144547,0.0344884761424641,0.0,0.0238399083649709,0.0,46485.29322991581,0.0,2190.3869406651615,0.0,48675.68017058098,0.0,48675.68017058098
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.12,0.03,0.1252910382144547,0.0344884761424641,0.0,0.0238399083649709,0.0,46485.29322991581,0.0,2190.3869406651615,0.0,48675.68017058098,0.0,48675.68017058098
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.12,0.075,0.1252910382144547,0.0344884761424641,0.0,0.0238399083649709,0.0,46485.29322991581,0.0,2190.3869406651615,0.0,48675.68017058098,0.0,48675.68017058098
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.12,0.5,0.1252910382144547,0.0344884761424641,0.0,0.0238399083649709,0.0,46485.29322991581,0.0,2190.3869406651615,0.0,48675.68017058098,0.0,48675.68017058098
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.27,0.01,0.1252910382144547,0.0344884761424641,0.0,0.0536397938211847,0.0,46485.29322991581,0.0,4928.370616496629,0.0,51413.66384641244,0.0,51413.66384641244
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.27,0.03,0.1252910382144547,0.0344884761424641,0.0,0.0536397938211847,0.0,46485.29322991581,0.0,4928.370616496629,0.0,51413.66384641244,0.0,51413.66384641244
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.27,0.075,0.1252910382144547,0.0344884761424641,0.0,0.0536397938211847,0.0,46485.29322991581,0.0,4928.370616496629,0.0,51413.66384641244,0.0,51413.66384641244
Facebook,All Policies,0.0,9066,290934,0,0,8121,91879,0,0,mid,2434800000.0,0.27,0.5,0.1252910382144547,0.0344884761424641,0.0,0.0536397938211847,0.0,46485.29322991581,0.0,4928.370616496629,0.0,51413.66384641244,0.0,51413.66384641244
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.06,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0156051492166816,0.0,13372.592007817744,17.52988,692.9622561159631,0.0,14065.554263933707,17.52988,14083.084143933707
